Wall time,Step,Value
1632323283.5469465,0,-262.3492431640625
1632323284.0804293,1,-229.7136993408203
1632323284.7694285,2,-551.4566650390625
1632323285.3582816,3,-614.454345703125
1632323285.5990827,4,-144.90647888183594
1632323285.8733637,5,-216.0496826171875
1632323286.152933,6,-381.12994384765625
1632323286.7805266,7,-528.232421875
1632323287.1294227,8,-23.679697036743164
1632323293.9098127,9,-158.19125366210938
1632323299.1881044,10,-458.56011962890625
1632323303.225351,11,-261.724609375
1632323305.356358,12,-204.69192504882812
1632323305.7466938,13,-429.25360107421875
1632323306.0618644,14,-725.2401733398438
1632323306.307244,15,-747.2408447265625
1632323306.6980712,16,-521.6634521484375
1632323307.0619361,17,-186.2977294921875
1632323308.7517042,18,-241.0712432861328
1632323309.2981844,19,-139.81594848632812
1632323310.5763202,20,-227.74325561523438
1632323311.2720547,21,-175.04730224609375
1632323311.7306073,22,-57.5413932800293
1632323312.3279939,23,-160.75396728515625
1632323313.546026,24,-175.98873901367188
1632323314.7333593,25,-165.6436767578125
1632323315.8622305,26,-165.05111694335938
1632323317.661599,27,-163.84835815429688
1632323319.1150851,28,-181.53329467773438
1632323320.7890701,29,-208.14224243164062
1632323322.3887355,30,-173.53897094726562
1632323323.9174428,31,-165.68600463867188
1632323326.648536,32,-220.93995666503906
1632323328.6369462,33,-231.41883850097656
1632323336.450621,34,-134.77056884765625
1632323339.2570121,35,-230.62750244140625
1632323341.5254202,36,-250.60086059570312
1632323343.3083544,37,-205.35752868652344
1632323345.0104413,38,-186.76661682128906
1632323351.557224,39,-123.84976959228516
1632323353.6983788,40,-230.49839782714844
1632323357.6002347,41,-259.52740478515625
1632323365.2543666,42,-173.35411071777344
1632323367.9089985,43,-213.012939453125
1632323371.8786836,44,-337.27056884765625
1632323374.6367362,45,-218.0943145751953
1632323377.823016,46,-274.49261474609375
1632323385.6811244,47,-231.7812042236328
1632323391.9228837,48,-334.1994323730469
1632323403.362195,49,-324.5785827636719
1632323409.999037,50,-115.43315887451172
1632323410.980056,51,-486.98785400390625
1632323414.7046745,52,-362.55865478515625
1632323418.7584066,53,-323.095703125
1632323425.9507926,54,-412.6828918457031
1632323434.2860515,55,-122.98882293701172
1632323439.8266425,56,-432.6795349121094
1632323440.541802,57,-503.71258544921875
1632323441.2686512,58,-403.3724060058594
1632323441.9597187,59,-288.7699890136719
1632323442.638236,60,-267.6371765136719
1632323449.4321709,61,-351.4045715332031
1632323455.7573745,62,-363.5662841796875
1632323463.2048454,63,-156.64837646484375
1632323470.7615197,64,-127.95623016357422
1632323478.7786171,65,-179.91815185546875
1632323479.3922222,66,-427.96875
1632323483.34383,67,-356.6963806152344
1632323483.8112435,68,-386.71417236328125
1632323484.2472863,69,-432.27301025390625
1632323491.9910698,70,-143.12403869628906
1632323499.1581008,71,-138.26577758789062
1632323499.581127,72,-312.3760070800781
1632323506.655823,73,-105.24235534667969
1632323513.5622292,74,-155.63174438476562
1632323522.0831337,75,-120.41070556640625
1632323530.2177234,76,-252.93943786621094
1632323530.6913354,77,-336.56298828125
1632323531.2656734,78,-318.1126403808594
1632323531.9077122,79,-362.7400817871094
1632323540.5705013,80,-138.48133850097656
1632323541.0070164,81,-361.0348205566406
1632323541.7061825,82,-559.0264282226562
1632323549.5826526,83,-142.336669921875
1632323555.0059605,84,-371.5440368652344
1632323555.41878,85,-390.7085876464844
1632323563.0833035,86,-112.48138427734375
1632323570.7916157,87,-86.900146484375
1632323577.311568,88,-465.3282165527344
1632323577.9857192,89,-382.94403076171875
1632323584.463107,90,-341.7226257324219
1632323591.8870897,91,-253.2263946533203
1632323598.7087655,92,-355.01837158203125
1632323606.1888204,93,-104.89434814453125
1632323614.6610143,94,-124.1380615234375
1632323622.3490705,95,-226.03298950195312
1632323630.3347344,96,-123.3114242553711
1632323638.393145,97,-140.73147583007812
1632323645.180868,98,-119.15925598144531
1632323661.5245304,99,-272.422119140625
1632323669.12126,100,20.047636032104492
1632323673.7215462,101,-236.9750518798828
1632323680.0221796,102,-254.63265991210938
1632323686.7051692,103,-103.7685546875
1632323693.4013684,104,-184.87075805664062
1632323696.6913564,105,-170.02601623535156
1632323702.7912297,106,-218.17909240722656
1632323708.736592,107,-174.4636688232422
1632323715.8102658,108,-93.00050354003906
1632323720.7327626,109,-210.9946746826172
1632323726.0947886,110,-271.4469299316406
1632323728.6126099,111,-157.9998779296875
1632323734.7318418,112,-217.706298828125
