Wall time,Step,Value
1632295107.2087164,0,-115.73468017578125
1632295107.388662,1,-123.22764587402344
1632295107.5943837,2,-348.87750244140625
1632295107.871836,3,-154.5475311279297
1632295108.1727257,4,-125.55660247802734
1632295108.546404,5,-192.97547912597656
1632295108.748555,6,-265.6148986816406
1632295108.998084,7,-119.95182800292969
1632295109.2941213,8,-138.1429901123047
1632295109.5426977,9,-111.61612701416016
1632295109.7365437,10,-110.58773803710938
1632295109.9402924,11,-135.52749633789062
1632295110.2289958,12,-69.4427261352539
1632295110.491946,13,-235.1614532470703
1632295110.6784537,14,-74.12974548339844
1632295113.727449,15,13.009490013122559
1632295113.9570122,16,-95.12373352050781
1632295114.1620786,17,-79.44577026367188
1632295114.4217017,18,-165.8975830078125
1632295114.6255262,19,-134.51422119140625
1632295114.8160477,20,-132.8972930908203
1632295115.1038437,21,-24.195053100585938
1632295115.3653193,22,-91.3450698852539
1632295115.557186,23,-90.29796600341797
1632295115.7195222,24,-76.08977508544922
1632295116.0256171,25,-83.97069549560547
1632295116.322074,26,-75.22103881835938
1632295116.5013955,27,-35.90135955810547
1632295116.7820616,28,-96.33998107910156
1632295117.1318836,29,-59.360130310058594
1632295117.4360905,30,-90.87095642089844
1632295117.6742115,31,-148.73289489746094
1632295117.8787858,32,-85.51475524902344
1632295118.0945961,33,-102.89175415039062
1632295118.4329696,34,-42.252933502197266
1632295118.6042092,35,-93.39544677734375
1632295118.842585,36,-201.1368408203125
1632295119.0555804,37,-20.9017276763916
1632295119.252168,38,-60.436126708984375
1632295119.5061414,39,-49.479000091552734
1632295119.8165789,40,-229.81190490722656
1632295120.0176146,41,-106.12783813476562
1632295120.158417,42,-97.44927215576172
1632295120.391915,43,-47.66151809692383
1632295120.6995687,44,-9.344864845275879
1632295120.945017,45,-78.31267547607422
1632295121.2502177,46,-40.682369232177734
1632295121.4740603,47,-138.59776306152344
1632295121.6291063,48,-51.22434616088867
1632295121.8309286,49,-28.470903396606445
1632295122.049868,50,-29.189306259155273
1632295122.3317711,51,-40.80003356933594
1632295122.5110495,52,-94.05691528320312
1632295122.8367908,53,-86.16027069091797
1632295123.0206878,54,-45.0927734375
1632295123.2542155,55,-122.16496276855469
1632295123.549431,56,-12.68433666229248
1632295123.9264622,57,-115.75331115722656
1632295124.211237,58,-30.178945541381836
1632295124.4845903,59,-81.04850769042969
1632295124.744776,60,-97.45903778076172
1632295125.0437696,61,-43.00550842285156
1632295125.3286378,62,-124.16998291015625
1632295125.6006708,63,-46.83030319213867
1632295125.8396614,64,-58.592960357666016
1632295126.1175897,65,-72.06204223632812
1632295126.4052489,66,-266.45538330078125
1632295126.8593013,67,-14.70274543762207
1632295127.3643036,68,11.549114227294922
1632295127.6996932,69,-8.28860092163086
1632295127.9799178,70,-93.1132583618164
1632295128.272401,71,-156.38975524902344
1632295128.555838,72,-41.17318344116211
1632295128.7943912,73,-4.712143898010254
1632295129.1129549,74,-14.611739158630371
1632295129.4388409,75,-36.31867980957031
1632295129.8005517,76,30.780107498168945
1632295130.3631573,77,15.067325592041016
1632295130.7784348,78,-168.59649658203125
1632295131.7490144,79,-238.6034698486328
1632295132.0548556,80,-14.752333641052246
1632295132.4118695,81,-16.442609786987305
1632295132.8722565,82,14.734139442443848
1632295133.1244276,83,-88.19035339355469
1632295133.5738432,84,13.088356971740723
1632295134.0819104,85,-6.354700088500977
1632295134.9242504,86,31.65362548828125
1632295135.350192,87,-103.41824340820312
1632295139.5103197,88,-123.90145111083984
1632295140.678719,89,-47.67030715942383
1632295142.4580834,90,-71.82785034179688
1632295146.88684,91,-50.9313850402832
1632295150.8802276,92,-31.01940155029297
1632295154.4881296,93,-41.011104583740234
1632295154.9526136,94,-27.658937454223633
1632295158.870071,95,-27.407135009765625
1632295162.8291123,96,-72.29463958740234
1632295166.24145,97,-65.83724975585938
1632295170.4722366,98,-50.690250396728516
1632295173.9532702,99,-35.27366638183594
1632295178.161547,100,-66.788330078125
1632295182.4716923,101,-87.93565368652344
1632295186.356861,102,-102.7520523071289
1632295189.0376797,103,-198.51663208007812
1632295193.3272233,104,-28.185754776000977
1632295197.888866,105,-33.63125991821289
1632295201.5976737,106,-58.576717376708984
1632295206.5829856,107,-87.6340103149414
1632295210.2851527,108,-83.03274536132812
1632295214.2201402,109,-64.8431396484375
1632295218.6879628,110,-91.1065902709961
1632295222.4100332,111,-71.010986328125
1632295227.1431284,112,-36.54983901977539
1632295231.5633423,113,-94.4263687133789
1632295237.3643713,114,-95.91270446777344
1632295241.5157857,115,-79.3825912475586
1632295245.9998708,116,-89.46723937988281
1632295249.8995473,117,-108.11331939697266
1632295254.361792,118,-57.38882827758789
1632295254.653563,119,-407.0937194824219
1632295259.4296951,120,-71.87399291992188
1632295264.651582,121,-50.849849700927734
1632295269.4425876,122,-37.03019714355469
1632295270.6316242,123,-576.1314086914062
1632295275.3913665,124,-96.37271118164062
1632295279.7338886,125,-24.055404663085938
1632295284.5320158,126,-63.08501052856445
1632295287.2108898,127,225.96041870117188
1632295291.7184873,128,-50.525699615478516
1632295292.1826081,129,-115.26457214355469
1632295295.006602,130,-150.52545166015625
1632295299.8637667,131,-51.029075622558594
1632295304.9144454,132,-63.620819091796875
1632295307.8185418,133,-287.1279602050781
1632295312.4071774,134,-51.69095993041992
1632295316.953873,135,-44.190086364746094
1632295317.2540333,136,-64.57823181152344
1632295319.3471248,137,247.0307159423828
1632295323.3499215,138,-271.1126403808594
1632295328.0620706,139,113.28799438476562
1632295332.763085,140,81.94168090820312
1632295337.8493571,141,-58.899993896484375
1632295342.43648,142,-61.05763244628906
1632295346.8959966,143,-76.86676788330078
1632295351.2308636,144,-49.05950927734375
1632295355.7821481,145,-84.67920684814453
1632295356.286474,146,-214.79513549804688
1632295361.2907712,147,-68.57105255126953
1632295366.586216,148,-79.89466094970703
1632295371.1593688,149,-101.6333236694336
1632295376.0989313,150,-44.98434066772461
1632295376.912015,151,-222.61744689941406
1632295378.7170968,152,295.330078125
1632295379.7352707,153,-78.1568832397461
1632295380.455371,154,-17.811580657958984
1632295385.4935384,155,-41.837520599365234
1632295386.0327466,156,-58.211090087890625
1632295391.3509424,157,-41.79526901245117
1632295396.5713396,158,-82.84341430664062
1632295401.7148836,159,-20.409706115722656
1632295406.6842256,160,-52.31814956665039
1632295411.8498974,161,-59.19099426269531
1632295417.4391458,162,-101.26307678222656
1632295417.8004155,163,-151.64208984375
1632295422.600663,164,-78.31065368652344
1632295427.5315251,165,-68.33918762207031
1632295428.0034747,166,-99.77491760253906
1632295431.4646387,167,127.92559814453125
1632295432.425416,168,-150.0393829345703
1632295432.777512,169,-150.08082580566406
1632295433.284454,170,-44.06797409057617
1632295438.2670193,171,-194.39857482910156
1632295438.7596345,172,41.48329162597656
1632295440.3437102,173,245.5159912109375
1632295444.040098,174,153.76852416992188
1632295445.4263346,175,282.8026428222656
1632295445.8585708,176,-32.35505676269531
1632295450.4690933,177,-112.3575210571289
1632295450.8052368,178,-115.22728729248047
1632295455.4556746,179,-34.30402755737305
1632295459.5061877,180,109.07205200195312
1632295459.9013612,181,-138.5368194580078
1632295460.505934,182,-151.06321716308594
1632295460.910169,183,-33.37269973754883
1632295465.8708234,184,-40.98393630981445
1632295466.3368604,185,-6.872453689575195
1632295471.5184703,186,-40.399356842041016
1632295471.8989973,187,-83.82704162597656
1632295472.2913823,188,-31.68297004699707
1632295472.7220938,189,-58.43346405029297
1632295478.1981199,190,142.57455444335938
1632295483.6630132,191,-14.014732360839844
1632295485.3211327,192,235.24839782714844
1632295489.9119608,193,142.8715057373047
1632295490.2563448,194,-38.09267807006836
1632295495.0860984,195,82.64407348632812
1632295496.5760002,196,249.7388916015625
1632295499.0919912,197,223.3407745361328
1632295503.460443,198,105.1678695678711
1632295504.5519454,199,281.8980407714844
1632295507.6536286,200,-337.275634765625
1632295509.3936522,201,229.94068908691406
1632295514.4593372,202,-33.59974670410156
1632295515.6239574,203,254.12098693847656
1632295517.6676884,204,217.9945068359375
1632295520.224962,205,213.6658935546875
1632295520.7957048,206,-14.80630111694336
1632295522.2621546,207,216.0620574951172
1632295527.7910218,208,-19.188270568847656
1632295530.2559478,209,203.07904052734375
1632295531.0479686,210,-165.3390655517578
1632295535.121668,211,187.3000030517578
1632295535.6724389,212,-13.378955841064453
1632295538.8043044,213,210.52626037597656
1632295539.4189968,214,-14.0409574508667
1632295540.544727,215,247.7126922607422
1632295543.1268,216,203.10452270507812
1632295546.8832233,217,-298.76043701171875
1632295547.9072964,218,264.8848876953125
1632295549.8127146,219,252.0092010498047
1632295551.9213648,220,-245.98800659179688
