Wall time,Step,Value
1632266777.1892657,0,-154.23443603515625
1632266777.4232044,1,-188.0542755126953
1632266777.593818,2,-145.79547119140625
1632266777.7972531,3,-315.2944641113281
1632266778.1619353,4,-524.9609375
1632266778.3945756,5,-383.47430419921875
1632266778.6391847,6,-197.53660583496094
1632266778.7971413,7,-157.62083435058594
1632266778.9616683,8,-110.23444366455078
1632266779.1809168,9,-63.73548889160156
1632266779.416116,10,-118.98966979980469
1632266779.604844,11,-287.2105407714844
1632266780.009605,12,-510.13958740234375
1632266780.2298472,13,-518.5293579101562
1632266781.0568502,14,-267.6242980957031
1632266784.0416346,15,-280.9571838378906
1632266786.343844,16,-196.6332550048828
1632266790.1191447,17,-132.90750122070312
1632266793.1990123,18,-306.5877990722656
1632266797.120098,19,-121.99609375
1632266801.242357,20,-124.98241424560547
1632266801.5488846,21,-309.54693603515625
1632266805.5228438,22,-121.89818572998047
1632266809.1494267,23,-104.7217025756836
1632266813.1173768,24,-79.43702697753906
1632266817.423689,25,-83.09234619140625
1632266821.7091565,26,-112.87773895263672
1632266822.1945422,27,-277.939453125
1632266822.6681595,28,-476.5916748046875
1632266823.3901584,29,-184.85647583007812
1632266827.149732,30,-87.67030334472656
1632266827.4663844,31,-214.0750274658203
1632266827.9110646,32,-21.027475357055664
1632266828.2098727,33,-247.6621856689453
1632266832.1267715,34,-77.00709533691406
1632266835.3167078,35,-122.49761199951172
1632266836.0279238,36,-20.638931274414062
1632266840.7276444,37,-106.98539733886719
1632266844.5333526,38,-101.88278198242188
1632266848.724717,39,-83.22489166259766
1632266852.2963853,40,-76.84547424316406
1632266853.0921144,41,-232.65628051757812
1632266857.5930288,42,-49.76195526123047
1632266862.2739587,43,-94.28279113769531
1632266866.1114457,44,-88.9820785522461
1632266870.1923227,45,-49.57255935668945
1632266875.2491167,46,-111.63482666015625
1632266879.9943106,47,-98.20198822021484
1632266884.6238973,48,-82.69307708740234
1632266888.5826507,49,-43.439212799072266
1632266893.2981815,50,-62.26079177856445
1632266898.2858846,51,-96.53311157226562
1632266902.59258,52,-84.8870620727539
1632266907.4887786,53,-125.64627075195312
1632266911.2295175,54,-90.14898681640625
1632266915.345976,55,-55.64134979248047
1632266916.351814,56,-37.83110046386719
1632266921.0506885,57,-90.38300323486328
1632266922.6264806,58,-36.70517349243164
1632266926.802782,59,-41.74250030517578
1632266931.8372664,60,-76.29771423339844
1632266937.2271802,61,-273.2437744140625
1632266941.7279422,62,-15.619415283203125
1632266944.6069827,63,-160.66290283203125
1632266949.675679,64,-91.74173736572266
1632266954.7393885,65,-105.83453369140625
1632266958.9644065,66,-35.37552261352539
1632266963.206108,67,-16.842205047607422
1632266968.24792,68,-25.619150161743164
1632266973.293442,69,-76.11793518066406
1632266978.227653,70,-20.650039672851562
1632266983.4553125,71,-22.003705978393555
1632266985.3813899,72,-117.8337631225586
1632266990.7469132,73,-83.3338394165039
1632266996.1024585,74,-41.106040954589844
1632267001.5446448,75,-56.33537673950195
